/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/HoldOut/cll_fl/Teste_1.arff;BayesNet,80.303030303;J48,77.2727272727;RandomForest,90.9090909091
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/HoldOut/fl_mcl/Teste_1.arff;BayesNet,80.303030303;J48,75.7575757576;RandomForest,75.7575757576
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/HoldOut/cll_mcl/Teste_1.arff;BayesNet,77.2727272727;J48,78.7878787879;RandomForest,78.7878787879
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_1.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_2.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_3.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_4.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_5.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_6.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_7.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_8.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_9.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_10.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_11.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
/home/eduardo/Documentos/Pos-Graduacao/Trabalho mestrado/Python codes/newFiles/loo/cll_fl/Teste_12.arff;BayesNet,0.0;J48,0.0;RandomForest,0.0
